2019-05-11 20:05:14 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 20:06:04 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 20:11:05 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 20:11:19 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 20:12:41 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 20:13:11 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 20:13:18 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 20:13:39 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 20:13:51 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 20:13:53 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 20:13:59 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 20:14:09 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 20:14:41 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 20:18:29 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 20:20:57 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 20:24:51 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 20:25:11 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
2019-05-11 20:25:47 : DEBUG DB Connected? - Collection(Database(MongoClient(host=['localhost:27017'], document_class=dict, tz_aware=False, connect=True), 'minecraftColor'), 'drawings')
